date,upc,item,paid
6/16/23,3100010130,Banquet Sausage & Gravy Deep Dish Frozen Pot Pie Meal,1.25
6/16/23,3100010103,Banquet Turkey Pot Pie,1.25
6/16/23,5100016777,Campbell's Chunky Healthy Request New England Clam Chowder Soup,2.79
6/16/23,4957895723,Carnival Cake Slice,2.36
6/16/23,7114040130,Geisha Mandarin Oranges,2.59
6/16/23,1300079830,Heinz Homestyle Mushroom Gravy,2.99
6/16/23,3760010743,Hormel Turkey with Beans Chili,2.49
6/16/23,1111061517,Kroger Cobb Salad Kit,1.84
6/16/23,1111083777,Canned Mushrooms Pieces & Stems,5
6/16/23,1111085022,Deli Thin Sliced Mesquite Smoked Turkey Breast,3.99
6/16/23,1111081211,Garden Variety Canned Sweet Peas,0.89
6/16/23,1111003968,Grape Cranberry Juice Cocktail From Concentrate,2.5
6/16/23,1111084415,Horseradish Mustard,1.25
6/16/23,4126000642,L-Arginine Complex Heart Support Supplement,10.56
6/16/23,1111091734,Santa Fe Style with Chicken Salad Kit for One,1.84
6/16/23,1111081209,Small Canned Sweet Peas,0.99
6/16/23,1111084413,Spicy Brown Mustard,1.25
6/16/23,1111087466,Sugar Free French Vanilla Coffee Creamer,2.99
6/16/23,7756713228,Magnum Double Caramel Vanilla Ice Cream Bars,5.99
6/16/23,4400003133,Ritz Whole Wheat Crackers,3.79
6/16/23,2529300380,Silk Original Almond & Cashew Protein Milk,3.99
6/16/23,2580001965,Smart Ones Chicken Enchiladas Suiza Frozen Meal,2.59
6/16/23,2580002242,Smart Ones Creamy Rigatoni Pasta with Broccoli & Chicken Frozen Meal,2.59
6/16/23,2580002320,Smart Ones Slow Roasted Turkey Breast with Gravy & Garlic-Herb Mashed Potatoes Frozen Meal,2.59
6/16/23,5100015341,V8 V-Fusion Peach Mango Juice,3.49
6/23/23,2505,Bakery Fresh Goodness Donut,5.34
6/23/23,71575610004,Fresh Organic Red Raspberries,3.49
6/23/23,71575620011,Fresh Organic Strawberries,3.79
6/23/23,1111004781,Chicken and Bacon Garden Salad Kit,2.28
6/27/23,3663202600,Activia Strawberry Lowfat Probiotic Yogurt,3.29
6/27/23,26917300000,Atlantic Salmon Center Cut,10.55
6/27/23,68954408196,Fage Total 2% Peach Greek Yogurt,1.26
6/27/23,68954408166,Fage Total 2% Milkfat Blueberry Greek Yogurt,1.25
6/27/23,68954408146,Fage Total 2% Milkfat Strawberry Greek Yogurt,2.5
6/27/23,4011,Fresh Banana - Each,1.18
6/27/23,81204900660,Fresh Blueberries,5.99
6/27/23,71575620002,Fresh Strawberries,2.79
6/27/23,7287878529,Herdez Medium Roasted Salsa Verde,3.99
6/27/23,3760026030,Hormel Natural Choice Sliced Honey Deli Ham Lunch Meat,5.79
6/27/23,1111050224,Queen Soopers City Market 2% Reduced Fat Milk,3.29
6/27/23,1111045043,2% Lowfat Small Curd Cottage Cheese,1.49
6/27/23,1111004438,Gouda Cheese Slices,2.33
6/27/23,1111058794,Havarti Cheese Slices,2.33
6/27/23,1111085428,Large White Eggs,1.69
6/27/23,1111058795,Mozzarella Cheese Slices,2.34
6/27/23,1111050204,Shredded Mexican Style Cheese Blend,2.34
6/27/23,1111018245,Washed and Trimmed Single Leaf Lettuce Boats,3.49
6/27/23,2733100033,La Banderita Soft Taco Large Flour Tortillas,2.99
6/27/23,72556430005,La Favorita Beef & Bean Burrito,2.49
6/27/23,72556430004,La Favorita Ground Beef Burrito,2.49
6/27/23,80430504135,Large Gala Apple,1.68
6/27/23,2113150111,Marie Callender's Chicken Pot Pie Frozen Meal,3.29
6/27/23,76101004046,Medium Ripe Avocado,1.38
6/28/23,4980058201,Jon Donaire Banana Split Ice Cream Cake,20.99
6/29/23,5480042331,Ben's Original Ready Rice Long Grain and Wild Flavored Rice,2.69
6/29/23,4056,Black Seedless Grapes,0.58
6/29/23,3082,Broccoli Crowns,0.73
6/29/23,4195307506,LavAzza Classico Medium Roast Ground Coffee,6.99
6/29/23,4195307505,LavAzza Gran Aroma Medium Roast Ground Coffee Bag,6.99
6/29/23,4195307508,LavAzza Gran Selezione Dark Roast Ground Coffee,6.99
6/29/23,1111004352,Private Selection Baba Ghannouj Eggplant Dip,5.49
6/29/23,4023,Red Seedless Grapes,0.68
6/29/23,1530043061,Rice-A-Roni Lower Sodium Chicken Flavor Rice,1
6/29/23,4072,Russet Potato,1.55
6/29/23,7222010189,Seattle Sourdough Baking Co. Sandwich Round Sourdough Bread,4.99
6/29/23,76634204378,Yellow Nectarines,2.12
7/5/23,1111045045,2% Lowfat Small Curd Cottage Cheese,2.99
7/5/23,1111058088,Original Whipped Cream Cheese Spread,2.59
7/5/23,4812129208,Thomas' Pre-Sliced Cinnamon Raisin Bagels,4.29
7/8/23,7214002223,Aquaphor Lip Repair Immediate Relief,10.99
7/8/23,4126038078,Triple Antibiotic Ointment,2.99
7/8/23,30065815001,Pataday Once Daily Eye Allergy Itch Relief Eye Drops,10.99
7/8/23,76634204378,Yellow Nectarines,3.32
7/8/23,82785400712,Ajax Ultra Triple Action Orange Dishwashing Liquid Dish Soap,1.25
7/8/23,21157800000,Beef Choice Cubed Beef for Stew Value Pack,21.32
7/8/23,4562,Carrots,0.89
7/8/23,81829001699,Chobani Vanilla Oatmilk,4.79
7/8/23,4889,Cilantro,0.79
7/8/23,70581472836,Early California Sliced Ripe Black Olives,4.69
7/8/23,7490404011,Fresh Banana - Each,1.5
7/8/23,5.05E+11,Fresh Ripe Whole Pineapple,2.99
7/8/23,71575620002,Fresh Strawberries,1.67
7/8/23,85312400711,Green Onions,0.89
7/8/23,84013430120,Home Chef Savory Whole Chicken Hot (Available 11AM-7PM DAILY),7.74
7/8/23,1111003113,Distilled White Vinegar,7.38
7/8/23,1111004438,Gouda Cheese Slices,2.49
7/8/23,1111058794,Havarti Cheese Slices,2.49
7/8/23,1111085485,Medium Grade A White Eggs,1.89
7/8/23,1111050176,Nacho & Taco Blend Shredded Cheese,2.49
7/8/23,1111059963,Neufchatel Low Fat Cheese,3.53
7/8/23,1111050204,Shredded Mexican Style Cheese Blend,2.49
7/8/23,85004387100,Large Limes,0.5
7/8/23,1111018181,Mini Sweet Peppers,2.99
7/8/23,2500004801,Minute Maid Pulp Free Kids+ Calcium 100% Orange Juice,3.79
7/8/23,7373107151,Mission Street Taco Flour Tortillas,3.98
7/8/23,3663202080,Oikos Plain Blended Greek Yogurt,1
7/8/23,1111008521,Private Selection 7 Grain Wide Pan Sliced Bread,2.99
7/8/23,4073,Red Potatoes,2.28
7/8/23,1111091341,Simple Truth Organic Firm Tofu,3.38
7/8/23,1111001616,Simple Truth Organic Fresh Blueberries,4.24
7/12/23,3663202954,Activia Strawberry Probiotic Dailies Yogurt Drink,5.99
7/12/23,3040079391,Angel Soft Mega Roll Toilet Paper,10.58
7/12/23,73820310111,California Sun Dry Sun-Dried Tomato Halves with Herbs,4.49
