date,upc,item,paid
6/6/23,7590000524,Evans Sour Cream & Chives Mashed Potatoes,4.49
6/6/23,80717670594,CJ Bibigo Original Korean BBQ Sauce,5.99
6/6/23,7015800517,Elmer's Instant Krazy Glue All-Purpose Tubes,2.99
6/6/23,7265500117,Healthy Choice Cafe Steamers Crustless Chicken Pot Pie Frozen Meal,2.49
6/6/23,7265540581,Healthy Choice Cafe Steamers Four Cheese Ravioli & Chicken Marinara Frozen Meal,2.49
6/6/23,7265500107,Healthy Choice Cafe Steamers Grilled Chicken Pesto with Vegetables Frozen Meal,2.49
6/6/23,7265500111,Healthy Choice Café Steamers Honey Glazed Turkey & Potatoes Frozen Meal,2.49
6/6/23,7265500106,Healthy Choice Cafe Steamers General Tso's Spicy Chicken Frozen Meal,2.49
6/6/23,77098131222,Kimberley's Bakeshoppe Patriotic Gourmet Cupcakes,1.8
6/6/23,1111091740,Apple Walnut with Chicken Salad Kit,3.67
6/6/23,1111091741,BLT with Chicken Salad Kit,3.67
6/6/23,1111003224,Creamy Cole Slaw,3
6/6/23,1111050158,Shredded Sharp Cheddar Cheese,6.87
6/6/23,2840019963,Lay's Sour Cream and Onion Potato Chips,3.99
6/6/23,7756727105,Magnum Dipped in Belgian Chocolate & Raspberry Ice Cream Bars,5.49
6/6/23,4470000063,Oscar Mayer Classic Uncured Wieners Hot Dogs,1.99
6/6/23,1111022070,Private Selection Butter Toffee Apple Streusel Half Pie,2.86
6/6/23,85029000250,Red Cherries,9.93
6/6/23,7111719038,Reser's Fine Foods Deviled Egg Potato Salad,4.29
6/6/23,82699804097,Spicely Organic Ground Black Pepper,8.49
6/6/23,82699808011,Spicely Organics Turmeric,11.99
6/24/23,7590000524,7E2Q8GDYPJ8ZEWC0JCQ2RHNQVG Evans Sour Cream & Chives Mashed Potatoes,3.49
6/24/23,5100003885,Campbell's Chunky Classic Chicken Noodle Soup,2.79
6/24/23,5100000524,Campbell's Chunky Soup New England Clam Chowder,2.79
6/24/23,3700071078,Crest Smooth Peppermint Flavor Premium Plus Anti-Bacterial Toothpaste,3.99
6/24/23,80430594045,Fresh Organic Red Cherries in Bag - 2.25 lb,8.75
6/24/23,75090311202,German Chocolate Cake,5.72
6/24/23,3760010743,Hormel Turkey with Beans Chili,4.98
6/24/23,28647750000,Kerrygold Cashel Blue Cheese,1.91
6/24/23,1111011803,Kroger Mercado Watermelon Guava Agua Fresca,1.99
6/24/23,1111091740,Apple Walnut with Chicken Salad Kit,3.66
6/24/23,1111091702,Chicken Caesar Salad Kit,3.67
6/24/23,1111009529,Cranberry Raspberry Flavored Juice Cocktail,1.99
6/24/23,1111085023,Deli Thin Sliced Honey Roasted Turkey Breast,4.49
6/24/23,1111081211,Garden Variety Canned Sweet Peas,0.89
6/24/23,1111011804,Mercado Tropical Mango Agua Fresca,1.99
6/24/23,1111061085,Mozzarella Tomato Salad Kit for One,3.67
6/24/23,1111081118,No Salt Added Mixed Vegetables,0.99
6/24/23,1111087466,Sugar Free French Vanilla Coffee Creamer,2.99
6/24/23,1111009521,White Cranberry Peach Juice Cocktail,1.99
6/24/23,1111009526,White Cranberry Strawberry Juice Cocktail,1.99
6/24/23,7756727105,Magnum Dipped in Belgian Chocolate & Raspberry Ice Cream Bars,4.49
6/24/23,4046,Medium Ripe Avocado,0.89
6/24/23,1111002369,Private Selection Ground Cardamom,6.29
6/24/23,4157325044,Private Selection Strawberry Rhubarb Pie,4.9
6/24/23,7111719038,Reser's Fine Foods Deviled Egg Potato Salad,4.99
6/24/23,2529300380,Silk Original Almond & Cashew Protein Milk,8.98
6/24/23,2580002011,Smart Ones Broccoli & Cheddar Roasted Potatoes Frozen Meal,0.99
6/24/23,2580002398,Smart Ones Chicken Parmesan with Spaghetti Marinara Sauce & Mozzarella Cheese Frozen Meal,0.99
6/24/23,2580002622,Smart Ones Chicken with Broccoli Red Peppers & Creamy Basil Parmesean Sauce Frozen Meal,0.99
6/24/23,2580002242,Smart Ones Creamy Rigatoni Pasta with Broccoli & Chicken Frozen Meal,0.99
6/24/23,2580002320,Smart Ones Slow Roasted Turkey Breast with Gravy & Garlic-Herb Mashed Potatoes Frozen Meal,0.99
6/24/23,1732400307,Spice Islands Ground Chipotle Chile,0
6/24/23,1732400260,Spice Islands Ground Nutmeg,12.49
6/24/23,5100015341,V8 V-Fusion Peach Mango Juice,4.98
6/24/23,5100015339,V8 Blends Strawberry Banana Juice,4.98
6/24/23,5100016983,V8 Pomegranate Blueberry Juice,2.49
7/5/23,1111005425,Bakery Fresh Goodness Sticky Buns 6 Count,1.85
7/5/23,4470009219,Claussen Kosher Dill Pickle Sandwich Slices,4.99
7/5/23,4900007477,Coca-Cola Cherry Soda Mini Cans,6
7/5/23,4900006723,Coke Zero Sugar Soda Mini Cans,6
7/5/23,29647890000,Cypress Grove Humboldt Fog Cheese,3.75
7/5/23,4125583612,Duncan Hines Comstock No Sugar Added Cherry Pie Filling & Topping,4.99
7/10/23,3663202600,Activia Strawberry Lowfat Probiotic Yogurt,3.29
7/10/23,85002026011,Actual Veggies the Actual Black Bean Veggie Burger,13.99
7/10/23,1376402823,Dave's Killer Bread 21 Whole Grains & Seeds Organic Hamburger Buns,5.99
7/10/23,1111045045,2% Lowfat Small Curd Cottage Cheese,2.99
7/20/23,77011822338,Bakery Tiramisu Cake,1.6
7/20/23,5100006959,Campbell’s Chunky Soup Chicken Broccoli Cheese Soup,1.49
7/20/23,5100003813,Campbell’s Chunky Chicken Corn Chowder Soup,1.49
7/20/23,5100021165,Campbell's Chunky Pub-Style Chicken Pot Pie Soup,1.49
7/20/23,5100000587,Campbell’s Chunky Soup Hearty Bean Soup With Ham,1.49
7/20/23,5100000524,Campbell's Chunky Soup New England Clam Chowder,1.49
7/28/23,85002026011,Actual Veggies the Actual Black Bean Veggie Burger,13.99
7/28/23,1111091785,Bloom Haus Dozen Rose Bunch - Red,3.43
7/28/23,4167902200,Boost High Protein Very Vanilla Nutritional Drink,19.99
7/28/23,1111009521,White Cranberry Peach Juice Cocktail,2.5
7/28/23,1111009526,White Cranberry Strawberry Juice Cocktail,2.5
7/28/23,5100015341,V8 V-Fusion Peach Mango Juice,4.29
7/28/23,5100015339,V8 Blends Strawberry Banana Juice,4.29
7/28/23,7675016058,Amazon $50 Gift Card,50
7/28/23,8130859187,Cupcake Vineyards Cabernet Sauvignon Red Wine,9.99
7/28/23,3800019973,Kellogg's Raisin Bran Crunch Original Breakfast Cereal,2.99
7/28/23,74069590508,Organic Iceberg Lettuce,2.99
7/28/23,1111002317,Simple Truth Organic 100% Peruvian Decaf Medium Roast Ground Coffee,6.99
7/31/23,1376402823,Dave's Killer Bread 21 Whole Grains & Seeds Organic Hamburger Buns,5.99
8/1/23,4100002278,Knorr Cheddar Broccoli Rice Sides,0.33
8/1/23,4100002266,Knorr Chicken Long Grain Rice and Vermicelli Pasta Blend Rice Sides,0.33
8/1/23,4100002253,Knorr Fettuccine Alfredo Pasta Sides,0.35
8/1/23,1380072110,Lean Cuisine Turkey Roasted Vegetable Frozen Meal,2.5
8/1/23,1380016689,Lean Cuisine Favorites Baked Chicken Frozen Meal,2.5
8/1/23,1380083442,Lean Cuisine Protein Kick Shrimp Alfredo Frozen Meal,2.5
8/1/23,1380028597,Lean Cuisine Protein Kick Sticky Ginger Chicken Frozen Meal,2.5
8/1/23,7341095789,Oroweat Superior Keto Rolls Sandwich Thins,6.99
8/1/23,4610000272,Sargento Natural Extra Sharp Cheddar Cheese Slices,2.5
8/6/23,89984200201,Cantaloupe,3.99
8/6/23,2700000266,Hunt's Best Ever Tomato Ketchup,2.49
8/6/23,4133533292,Ken's Steak House Honey Mustard Salad Dressing Topping & Spread,5.49
8/6/23,1111061517,Kroger Cobb with Chicken & Bacon Salad Bowl Kit,3.67
8/6/23,1111091702,Chicken Caesar Salad Bowl Kit,3.67
8/6/23,1111012045,No Sugar Added Tomato Ketchup,2.99
8/6/23,1111091734,Santa Fe Style with Chicken Salad Bowl Kit,3.67
8/6/23,1111061990,Spinach Dijon Salad Bowl Kit,1.84
8/6/23,1111087466,Sugar Free French Vanilla Coffee Creamer,2.99
8/6/23,7341095789,Oroweat Superior Keto Rolls Sandwich Thins,6.99
8/6/23,1111010770,Simple Truth Organic 20 Grains & Seeds Thin Sliced Bread,4.49
8/8/23,7675016061,Amazon $25-$500 Gift Card,75
8/8/23,85003573701,RollinGreens Plant-Based Chic'ken Chopped Fajita,2.1
8/8/23,85003573705,RollinGreens Plant-Based ME'EAT Classic Salt & Pepper,6.3
8/18/23,7675016061,Amazon $25-$500 Gift Card,100
8/18/23,85002026011,Actual Veggies the Actual Black Bean Veggie Burger,12.99
8/19/23,7341095789,Oroweat Superior Keto Rolls Sandwich Thins,11.98
8/31/23,4470009219,Claussen Kosher Dill Pickle Sandwich Slices,4.99
8/31/23,4450097645,Hillshire Farm Ultra Thin Sliced Lower Sodium Honey Ham Lunch Meat,3.5
8/31/23,1111061517,Kroger Cobb with Chicken & Bacon Salad Bowl Kit,3.67
8/31/23,1111091740,Apple Walnut with Chicken Salad Bowl Kit,3.67
8/31/23,1111003966,Cranberry Apple Juice Cocktail,2.5
8/31/23,1111081211,Garden Variety Canned Sweet Peas,0.89
8/31/23,1111061085,Mozzarella Tomato Salad Bowl Kit,1.65
8/31/23,1111059963,Neufchatel Low Fat Cheese,2.19
8/31/23,1111009526,White Cranberry Strawberry Juice Cocktail,2.5
8/31/23,3120028131,Ocean Spray White Cran-Peach Juice Drink,3
8/31/23,5100015341,V8 Blends 100% Juice Peach Mango Juice,4.29
8/31/23,5100015339,V8 Blends 100% Juice Strawberry Banana Juice,4.29
8/31/23,5100016983,V8 Pomegranate Blueberry Juice,4.29
9/1/23,7675016061,Amazon $25-$500 Gift Card,100
9/1/23,4050,Cantaloupe,3.99
9/1/23,3760010743,Hormel Turkey with Beans Chili,4.98
9/1/23,2700000266,Hunt's Best Ever Tomato Ketchup,2.49
9/1/23,4133500034,Ken's Steak House Honey Mustard Salad Dressing,4.98
9/1/23,4133500169,Ken's Steak House Lite Chunky Blue Cheese Salad Dressing,2.49
9/1/23,4133533425,Ken's Steak House Lite Creamy Caesar Salad Dressing,2.49
9/1/23,4133500168,Ken's Steak House Lite Sweet Vidalia Onion Salad Dressing,2.49
9/1/23,1111081209,Small Canned Sweet Peas,0.99
9/1/23,1111087466,Sugar Free French Vanilla Coffee Creamer,2.99
9/1/23,1111080809,Sweet White & Gold Whole Kernel Corn,0.99
9/1/23,7756713228,Magnum Double Caramel Vanilla Ice Cream Bars,4.49
9/1/23,7756727105,Magnum Double Raspberry Ice Cream Bars,4.49
9/1/23,2113150661,Marie Callender’s Turkey & Stuffing Thanksgiving Pie Frozen Meal,3
9/1/23,1111020742,Private Selection Brown Sugar & Maple Apple Pie,4.5
9/1/23,1111019924,Private Selection Temptation Trio Variety Bar Tray,12.99
9/1/23,85044600846,Saffron Road Butter Chicken with Basmati Rice Gluten-Free Frozen Meal,3.99
9/1/23,85706300200,Saffron Road Chicken Tikka Masala with Basmati Rice Gluten-Free Frozen Meal,3.99
9/1/23,85044600873,Saffron Road Coconut Curry Chicken with Basmati Rice Gluten-Free Frozen Meal,3.99
9/1/23,1291901254,Seattle's Best Coffee Henry's Blend Dark Roast Ground Coffee,4.99
9/1/23,1291901206,Seattle's Best Coffee Breakfast Blend Medium Roast Ground Coffee,4.99
9/1/23,1291912211,Seattle's Best Coffee Decaf Portside Blend Medium Roast Ground Coffee,4.99
9/1/23,1291912050,Seattle's Best Coffee Toasted Hazelnut Flavored Medium Roast Ground Coffee,4.99
9/1/23,1291912340,Seattle's Best Coffee Very Vanilla Flavored Medium Roast Ground Coffee,4.99
9/1/23,5100016983,V8 Pomegranate Blueberry Juice,4.29
9/11/23,1200000159,Aquafina Purified Drinking Bottled Water,2.49
9/11/23,7146430150,Bolthouse Farms Blue Goodness Fruit Juice Smoothie,3.49
9/11/23,3022311400,Taylor Farms Caprese Turkey Wrap,6
9/15/23,4000052552,Dove Chocolate Promises Dark Chocolate & Mint Swirl Candy,6.49
9/15/23,81288102304,Nudge Brazilian Reserve Medium Roast Coffee Bombs Snacks,3.99
9/15/23,81288102302,Nudge Vanilla Latte Coffee Bombs,3.99
9/17/23,85002026011,Actual Veggies the Actual Black Bean Veggie Burger,13.99
9/17/23,7341095789,Oroweat Superior Keto Rolls Sandwich Thins,6.99
9/20/23,1380013660,Lean Cuisine Teriyaki Chicken Frozen Meal,2.5
9/20/23,1380026680,Lean Cuisine Features Maple Bourbon Chicken Frozen Meal,5
9/20/23,1380093052,Lean Cuisine Features Ricotta Cheese & Spinach Ravioli Frozen Meal,2.5
9/20/23,1380083442,Lean Cuisine Protein Kick Shrimp Alfredo Frozen Meal,2.5
9/20/23,1380004718,Lean Cuisine Protein Kick Supreme Frozen Pizza,5
9/20/23,1380084580,Lean Cuisine Protein Kick Upwrapped Chicken Burrito Frozen Meal,2.5
9/21/23,2480062002,Bakery Fresh Blueberry Muffins,4.99
9/21/23,24160500000,Beef Choice Boneless Short Ribs (About 4 per Pack),17.26
9/21/23,4437539100,Birchwood Foods Cook in Tray Meatloaf,7.99
9/21/23,7447129013,Café Bustelo Brazil Brazilian Blend Ground Coffee,3.99
9/21/23,4889,Cilantro,0.79
9/21/23,71575620002,Fresh Strawberries,3.69
9/21/23,4300004296,Gevalia Traditional Roast Mild Light Roast Ground Coffee,8.49
9/21/23,85141300308,Green Asparagus,3.83
9/21/23,4089,Green Top Red Radishes 1 Bunch,1.29
9/21/23,9605204082,Jumbo Red Onions,0.71
9/21/23,1111037657,# 2 Unbleached Cone Coffee Filters - Natural Brown,4.99
9/21/23,1111091051,Baby Spring Mix,3.49
9/21/23,1111042133,Distilled Gallon Water,1.49
9/21/23,1111050195,Shredded Parmesan Cheese,2.49
9/21/23,1111080803,Sweet Whole Kernel Canned Golden Corn,0.89
9/21/23,1707710732,Lifeway Banana Strawberry Probiotic Low Fat Kefir Drink,3.99
9/21/23,9605204093,Medium Yellow Onions,0.54
